value,datetime,datetime_utc,tz_time,geo_id,geo_name
66.0,2025-05-10 00:00:00+02:00,2025-05-09T22:00:00Z,2025-05-09T22:00:00.000Z,8741,Península
0.0,2025-05-10 01:00:00+02:00,2025-05-09T23:00:00Z,2025-05-09T23:00:00.000Z,8741,Península
0.0,2025-05-10 02:00:00+02:00,2025-05-10T00:00:00Z,2025-05-10T00:00:00.000Z,8741,Península
0.0,2025-05-10 03:00:00+02:00,2025-05-10T01:00:00Z,2025-05-10T01:00:00.000Z,8741,Península
14.925,2025-05-10 04:00:00+02:00,2025-05-10T02:00:00Z,2025-05-10T02:00:00.000Z,8741,Península
28.025,2025-05-10 05:00:00+02:00,2025-05-10T03:00:00Z,2025-05-10T03:00:00.000Z,8741,Península
0.0,2025-05-10 06:00:00+02:00,2025-05-10T04:00:00Z,2025-05-10T04:00:00.000Z,8741,Península
0.0,2025-05-10 07:00:00+02:00,2025-05-10T05:00:00Z,2025-05-10T05:00:00.000Z,8741,Península
0.0,2025-05-10 08:00:00+02:00,2025-05-10T06:00:00Z,2025-05-10T06:00:00.000Z,8741,Península
1.5,2025-05-10 09:00:00+02:00,2025-05-10T07:00:00Z,2025-05-10T07:00:00.000Z,8741,Península
0.0,2025-05-10 10:00:00+02:00,2025-05-10T08:00:00Z,2025-05-10T08:00:00.000Z,8741,Península
0.0,2025-05-10 11:00:00+02:00,2025-05-10T09:00:00Z,2025-05-10T09:00:00.000Z,8741,Península
0.0,2025-05-10 12:00:00+02:00,2025-05-10T10:00:00Z,2025-05-10T10:00:00.000Z,8741,Península
0.0,2025-05-10 13:00:00+02:00,2025-05-10T11:00:00Z,2025-05-10T11:00:00.000Z,8741,Península
0.0,2025-05-10 14:00:00+02:00,2025-05-10T12:00:00Z,2025-05-10T12:00:00.000Z,8741,Península
0.0,2025-05-10 15:00:00+02:00,2025-05-10T13:00:00Z,2025-05-10T13:00:00.000Z,8741,Península
0.0,2025-05-10 16:00:00+02:00,2025-05-10T14:00:00Z,2025-05-10T14:00:00.000Z,8741,Península
0.0,2025-05-10 17:00:00+02:00,2025-05-10T15:00:00Z,2025-05-10T15:00:00.000Z,8741,Península
0.0,2025-05-10 18:00:00+02:00,2025-05-10T16:00:00Z,2025-05-10T16:00:00.000Z,8741,Península
0.0,2025-05-10 19:00:00+02:00,2025-05-10T17:00:00Z,2025-05-10T17:00:00.000Z,8741,Península
0.0,2025-05-10 20:00:00+02:00,2025-05-10T18:00:00Z,2025-05-10T18:00:00.000Z,8741,Península
